tAI_full	flag_Kon	protein_synthesis_rate	real_protein_synthesis_per_mrna	AvgExp_Steinmetz	AvgmRNA_percell_Holstege	Gene	AVGEXP_YPD	DM_YPD	tAI_full	AvgExp_Steinmetz	DM_Steinmetz	Kon	real_protein_synthesis_per_mrna	
HighTLE	Intermediate2	NA	NA	Int1.mRNA	Int2.mRNA	PMI40	704.5	-0.181	0.449086983290681	3.765	0.042	3.536	NA	
HighTLE	NA	NA	NA	NA	NA	PMP1	6641.5	1.39	0.570815152734791	NA	NA	NA	NA	
HighTLE	High	NA	NA	High.mRNA	NA	PMP2	5068.5	-2.057	0.500221905425612	25.568	-0.032	17.861	NA	
I1TLE	Low	NA	NA	Int2.mRNA	Int1.mRNA	PMR1	642	-2.753	0.387319105889221	1.477	-0.064	0.441	NA	
I1TLE	Intermediate1	IntProtSyn	I1ProtSyn.mRNA	Int1.mRNA	Int2.mRNA	PMT1	111.5	-1.223	0.40123895579583	3.01	-0.074	13.359	0.045	
I1TLE	High	IntProtSyn	I1ProtSyn.mRNA	Int1.mRNA	Int2.mRNA	PMT2	68.5	-2.75	0.417375493389309	2.913	-0.136	73.21	0.044	
LowTLE	Intermediate2	NA	NA	Low.mRNA	NA	PMT7	132	0.374	0.335932910062375	0.371	-0.029	2.719	NA	
I2TLE	Low	HighProtSyn	I1ProtSyn.mRNA	Low.mRNA	Int1.mRNA	PMU1	201	5.614	0.353286417204491	0.263	-0.023	0.776	0.084	
HighTLE	Low	NA	NA	High.mRNA	NA	PNC1	634.5	10.58	0.449583920951186	5.581	0.151	1.621	NA	
I1TLE	Low	NA	NA	Int1.mRNA	Int2.mRNA	POB3	531	-0.066	0.408575968878384	2.849	-0.059	0.138	NA	
LowTLE	Low	NA	NA	Low.mRNA	NA	POC4	104	-1.462	0.287017185534773	0.322	0.033	0.848	NA	
I2TLE	Low	NA	NA	Low.mRNA	Low.mRNA	POL2	78.5	-2.186	0.357599843374911	0.844	0.189	1.48	NA	
I2TLE	Intermediate2	NA	NA	Int1.mRNA	Low.mRNA	POL5	172	-0.059	0.366097388444554	2.214	-0.048	2.404	NA	
I1TLE	Intermediate2	NA	NA	Int1.mRNA	NA	POM33	180.5	5.047	0.385819099668164	2.185	0.028	4.159	NA	
LowTLE	High	NA	NA	Low.mRNA	NA	POM34	228	-0.923	0.317111803503507	0.859	-0.14	101.213	NA	
I2TLE	High	NA	NA	Int2.mRNA	NA	POP2	264	0.654	0.35117177858079	1.631	-0.094	18.212	NA	
LowTLE	Intermediate2	NA	NA	Int2.mRNA	Low.mRNA	POP3	194.5	-1.529	0.321142338500675	1.564	0.037	3.64	NA	
LowTLE	Low	NA	NA	Int2.mRNA	NA	POP5	295.5	0.81	0.280708401408459	1.414	-0.017	1.249	NA	
I1TLE	Intermediate2	NA	NA	Low.mRNA	NA	POP6	98	-2.35	0.381212864775609	0.285	-0.164	3.136	NA	
HighTLE	NA	NA	NA	NA	NA	POR1	841	15.868	0.489121197567504	NA	NA	NA	NA	
LowTLE	Intermediate1	NA	NA	Int1.mRNA	Int1.mRNA	PPH21	129.5	-1.8	0.34161749037365	3.137	-0.04	6.065	NA	
LowTLE	Low	NA	NA	Low.mRNA	NA	PPM2	59	-3.024	0.340889935222912	0.112	0.037	0.521	NA	
I2TLE	High	IntProtSyn	I2ProtSyn.mRNA	Int1.mRNA	Low.mRNA	PPT1	314	-1.442	0.378688943049306	3.621	-0.099	16.501	0.02	
I2TLE	High	IntProtSyn	LowProtSyn.mRNA	Int2.mRNA	Int1.mRNA	PPX1	323.5	-2.257	0.369749144959571	1.661	-0.196	146.031	0.013	
I2TLE	Intermediate1	NA	NA	Low.mRNA	NA	PPZ1	173.5	-0.648	0.350094964049394	0.563	-0.115	6.53	NA	
HighTLE	Intermediate2	NA	NA	Int1.mRNA	NA	PRB1	169.5	5.387	0.460996935760283	3.975	0.06	2.177	NA	
I1TLE	Low	HighProtSyn	HighProtSyn.mRNA	Int1.mRNA	Low.mRNA	PRD1	395	-0.568	0.393410019840118	2.572	-0.109	0.836	0.119	
I1TLE	Intermediate2	NA	NA	High.mRNA	High.mRNA	PRE10	1218	-1.558	0.384521868438081	5.518	-0.063	2.54	NA	
I1TLE	Intermediate1	HighProtSyn	I1ProtSyn.mRNA	High.mRNA	Int2.mRNA	PRE3	1150.5	25.777	0.38156760802438	5.978	-0.065	11.206	0.067	
I1TLE	Low	IntProtSyn	I2ProtSyn.mRNA	High.mRNA	Int2.mRNA	PRE5	1667	-3.355	0.383731736502907	7.975	-0.139	0.105	0.032	
I2TLE	Intermediate2	NA	NA	High.mRNA	High.mRNA	PRE6	1009	-2.657	0.378212999220819	7.879	-0.088	2.089	NA	
I2TLE	High	NA	NA	High.mRNA	High.mRNA	PRE8	1690	-3.345	0.357693170534758	5.816	-0.132	61.038	NA	
I1TLE	High	NA	NA	High.mRNA	High.mRNA	PRE9	1268	-1.068	0.396172100946293	8.476	-0.093	25.122	NA	
I2TLE	Intermediate1	NA	NA	Low.mRNA	NA	PRM15	207	4.843	0.374692965334663	0.286	-0.129	7.558	NA	
LowTLE	Low	NA	NA	Low.mRNA	NA	PRM5	100	3.349	0.311902644162321	0.626	0.342	0.796	NA	
I1TLE	Intermediate1	IntProtSyn	I2ProtSyn.mRNA	Int2.mRNA	Int1.mRNA	PRO1	614.5	-0.589	0.412503758243491	1.937	-0.05	9.082	0.018	
I1TLE	Intermediate2	HighProtSyn	HighProtSyn.mRNA	High.mRNA	Int2.mRNA	PRO3	612.5	-0.794	0.410341324371689	5.681	-0.115	1.848	0.153	
LowTLE	Intermediate1	NA	NA	Int2.mRNA	Low.mRNA	PRP19	108	0.04	0.342710341906774	1.275	-0.026	5.783	NA	
I2TLE	NA	NA	NA	NA	Low.mRNA	PRP38	86	0.065	0.358854099585797	NA	NA	NA	NA	
I1TLE	Intermediate1	IntProtSyn	LowProtSyn.mRNA	Int1.mRNA	Int2.mRNA	PRP43	595.5	-0.654	0.408936303421296	4.068	-0.117	4.756	0.006	
I2TLE	Low	NA	NA	Low.mRNA	Low.mRNA	PRP5	68	-2.662	0.35717970137439	0.66	0.164	0.853	NA	
LowTLE	NA	NA	NA	NA	NA	PRR1	113	1.784	0.311953627314439	NA	NA	NA	NA	
HighTLE	Intermediate2	NA	NA	High.mRNA	NA	PRS1	277.5	-0.748	0.44995780328946	6.748	-0.107	3.505	NA	
LowTLE	High	NA	NA	Int2.mRNA	NA	PRS2	125	-1.393	0.334645265847841	1.431	-0.105	68.318	NA	
I1TLE	High	IntProtSyn	I2ProtSyn.mRNA	High.mRNA	NA	PRS3	869.5	-1.125	0.417528861569646	4.298	-0.12	20.862	0.032	
I1TLE	Intermediate2	IntProtSyn	LowProtSyn.mRNA	Int1.mRNA	NA	PRS4	267.5	-1.553	0.38490622718087	2.481	-0.113	2.128	0.008	
I1TLE	High	IntProtSyn	I2ProtSyn.mRNA	High.mRNA	NA	PRS5	496	-2.341	0.388323193006894	4.999	-0.122	53.324	0.02	
HighTLE	Intermediate2	NA	NA	High.mRNA	High.mRNA	PRT1	2882	-2.461	0.460693704868223	7.633	-0.102	1.713	NA	
I1TLE	Low	HighProtSyn	HighProtSyn.mRNA	Int2.mRNA	NA	PRX1	203.5	5.43	0.413436500480109	1.839	0.309	0.305	0.459	
HighTLE	Low	NA	NA	Int1.mRNA	Int1.mRNA	PRY1	183.5	10.159	0.451948055178067	3.91	0.484	0.55	NA	
LowTLE	Low	NA	NA	Int1.mRNA	Low.mRNA	PRY3	392	17.49	0.337120982169437	3.529	0.384	1.284	NA	
I1TLE	High	IntProtSyn	LowProtSyn.mRNA	Int2.mRNA	NA	PSE1	463.5	-1.282	0.387457027265479	1.27	-0.206	481.035	0.014	
I2TLE	NA	NA	NA	NA	NA	PSP1	75.5	-2.943	0.36881094309153	NA	NA	NA	NA	
I2TLE	Low	IntProtSyn	I1ProtSyn.mRNA	Low.mRNA	Low.mRNA	PSP2	200.5	-0.12	0.354675293761379	0.486	0.392	1.113	0.047	
LowTLE	Intermediate1	NA	NA	Int2.mRNA	NA	PSR1	179.5	0.064	0.305736317958234	1.494	-0.021	5.361	NA	
HighTLE	Low	NA	NA	Int2.mRNA	NA	PST1	181	6.308	0.426687096552271	1.084	2.867	0.045	NA	
HighTLE	Intermediate1	HighProtSyn	HighProtSyn.mRNA	Int1.mRNA	NA	PST2	289.5	2.147	0.492087182805794	3.063	0.026	4.984	0.391	
LowTLE	Intermediate1	NA	NA	Low.mRNA	NA	PSY2	64.5	-2.799	0.346745522670442	0.519	-0.064	6.37	NA	
I2TLE	Intermediate1	LowProtSyn	LowProtSyn.mRNA	Low.mRNA	NA	PSY4	118.5	-1.238	0.354677974400855	0.549	-0.128	9.09	0.002	
LowTLE	Intermediate2	NA	NA	Int2.mRNA	Low.mRNA	PTA1	99	-3.115	0.347319486511184	1.072	-0.031	4.587	NA	
I2TLE	NA	HighProtSyn	HighProtSyn.mRNA	NA	Low.mRNA	PTC2	210.5	0.143	0.362064441515031	NA	NA	NA	0.129	
I1TLE	Intermediate1	NA	NA	High.mRNA	Int1.mRNA	PTC3	472	-0.832	0.384390995930198	5.378	-0.067	13.367	NA	
LowTLE	Low	NA	NA	Low.mRNA	NA	PTI1	124.5	-1.842	0.337819295531309	0.859	0.114	0.081	NA	
I2TLE	Low	LowProtSyn	LowProtSyn.mRNA	Int1.mRNA	Low.mRNA	PTK2	286	-0.686	0.371094707613211	2.19	-0.078	1.613	0	
HighTLE	Low	HighProtSyn	I1ProtSyn.mRNA	High.mRNA	Int1.mRNA	PUB1	1866.5	-2.597	0.458596346602846	9.85	-0.14	1.062	0.074	
LowTLE	Low	NA	NA	Low.mRNA	NA	PUF2	102	-1.1	0.324203513575824	0.308	-0.031	1.352	NA	
I1TLE	Low	NA	NA	Int2.mRNA	NA	PUF3	204	-1.631	0.386895711003145	1.041	0.333	1.035	NA	
I2TLE	Low	NA	NA	Low.mRNA	NA	PUF4	226.5	-1.058	0.35936908981098	0.996	-0.034	1.504	NA	
HighTLE	Intermediate1	NA	NA	High.mRNA	NA	PUF6	735	-0.767	0.434163429872636	6.762	-0.027	5.144	NA	
LowTLE	NA	NA	NA	NA	NA	PUN1	444.5	2.027	0.307183219366891	NA	NA	NA	NA	
I2TLE	Intermediate2	HighProtSyn	HighProtSyn.mRNA	High.mRNA	Int2.mRNA	PUP2	1528	-1.36	0.369459025723239	8.096	-0.073	3.367	0.228	
I1TLE	High	IntProtSyn	I2ProtSyn.mRNA	Int1.mRNA	Int1.mRNA	PUS1	262.5	1.696	0.402868871470637	2.512	-0.13	40.296	0.015	
HighTLE	Low	NA	NA	Int1.mRNA	NA	PUS7	95.5	0.483	0.421981316620661	3.871	-0.098	0.607	NA	
I1TLE	Intermediate2	NA	NA	Int2.mRNA	Int1.mRNA	PUT2	241	3.876	0.395150436097628	1.605	0.034	1.777	NA	
I1TLE	Intermediate2	IntProtSyn	I2ProtSyn.mRNA	High.mRNA	Int2.mRNA	PWP1	862.5	-0.678	0.414207883411893	5.347	-0.118	2.976	0.039	
I2TLE	Low	NA	NA	Int2.mRNA	Int1.mRNA	PWP2	503	-1.071	0.372091255159315	1.423	-0.04	0.964	NA	
I2TLE	Intermediate2	NA	NA	Low.mRNA	NA	PXL1	104.5	-3.392	0.350610274455754	0.466	-0.02	1.716	NA	
I2TLE	Low	NA	NA	High.mRNA	NA	PXR1	247	2.695	0.37947742079892	5.447	-0.075	0.865	NA	
HighTLE	Low	NA	NA	Int1.mRNA	Int1.mRNA	PYC1	864.5	4.261	0.44272008204407	2.611	0.344	1.367	NA	
HighTLE	Intermediate2	NA	NA	Int2.mRNA	Int2.mRNA	PYC2	807.5	2.204	0.458858971290348	1.12	0.105	2.371	NA	
I2TLE	Low	NA	NA	Low.mRNA	NA	PYK2	63	-0.6	0.364715107254791	0.328	0.089	0.849	NA	
LowTLE	Low	NA	NA	Int2.mRNA	Int2.mRNA	QCR10	116.5	2.99	0.334717003009929	1.226	0.046	1.525	NA	
HighTLE	Low	HighProtSyn	HighProtSyn.mRNA	Int1.mRNA	Int1.mRNA	QCR2	198	3.515	0.428113185386554	2.142	-0.082	1.186	0.473	
HighTLE	Low	NA	NA	Int2.mRNA	High.mRNA	QCR6	305.5	6.818	0.445181858236005	1.612	0.111	0.736	NA	
I1TLE	Intermediate1	NA	NA	Int1.mRNA	High.mRNA	QCR7	783.5	7.238	0.41924058417819	2.501	-0.049	11.036	NA	
I1TLE	Low	NA	NA	High.mRNA	High.mRNA	QCR8	176	2.163	0.381441806386683	4.993	-0.06	1.467	NA	
LowTLE	Intermediate2	NA	NA	Int2.mRNA	High.mRNA	QCR9	196.5	8.864	0.327046676422133	1.213	-0.045	4.564	NA	
LowTLE	Intermediate2	NA	NA	Int2.mRNA	NA	QDR2	203	5.569	0.33079948319296	1.607	0.058	3.225	NA	
I1TLE	High	NA	NA	Int2.mRNA	Int1.mRNA	QRI1	201	-0.429	0.400291362493616	1.467	-0.17	60.645	NA	
I1TLE	High	NA	NA	High.mRNA	Int1.mRNA	RAD23	66.5	0.659	0.388014065627398	4.806	-0.128	27.806	NA	
I1TLE	Intermediate2	NA	NA	Int2.mRNA	Int1.mRNA	RAD27	97	2.081	0.393681942939457	1.619	0.064	3.194	NA	
I2TLE	Low	NA	NA	Int2.mRNA	Int1.mRNA	RAD51	574.5	5.24	0.379442968289675	1.132	0.288	0.326	NA	
HighTLE	Intermediate1	NA	NA	High.mRNA	Int1.mRNA	RAD6	465.5	1.732	0.441217254818576	5.196	-0.028	9.763	NA	
I2TLE	Intermediate1	NA	NA	Int1.mRNA	NA	RAI1	114.5	1.141	0.354676256563863	2.245	-0.063	13.095	NA	
I2TLE	Low	IntProtSyn	I1ProtSyn.mRNA	Low.mRNA	Low.mRNA	RAP1	220	0.209	0.356081113884354	0.678	-0.008	0.584	0.07	
I2TLE	NA	HighProtSyn	I1ProtSyn.mRNA	NA	Low.mRNA	RAS1	94	-1.234	0.359363756372887	NA	NA	NA	0.078	
I1TLE	NA	LowProtSyn	LowProtSyn.mRNA	NA	Int2.mRNA	RAS2	879	1.538	0.404254531701588	NA	NA	NA	0.004	
I2TLE	High	NA	NA	Int2.mRNA	Low.mRNA	RAT1	155.5	3.418	0.374075148848985	1.221	-0.125	209.166	NA	
LowTLE	Low	NA	NA	Low.mRNA	NA	RAX2	282.5	0.909	0.323633302130283	0.481	0.292	0.589	NA	
I1TLE	NA	LowProtSyn	LowProtSyn.mRNA	NA	NA	RBA50	124	0.305	0.394602767443875	NA	NA	NA	0.009	
LowTLE	Intermediate2	NA	NA	Int1.mRNA	NA	RBD2	641.5	-0.873	0.331016323757641	2.463	-0.004	1.958	NA	
I1TLE	Intermediate2	NA	NA	Int1.mRNA	NA	RBG1	823.5	-1.331	0.396670635769073	4.114	-0.031	2.389	NA	
I1TLE	Intermediate2	LowProtSyn	LowProtSyn.mRNA	Int1.mRNA	NA	RBG2	824.5	-1.981	0.401444703429802	3.158	-0.09	1.965	0.008	
I2TLE	Intermediate1	NA	NA	Int2.mRNA	Low.mRNA	RBK1	156	0.011	0.363916937708226	1.086	-0.039	5.471	NA	
I1TLE	Intermediate2	HighProtSyn	HighProtSyn.mRNA	Int1.mRNA	Int2.mRNA	RBL2	215.5	1.293	0.406533133196873	2.611	-0.042	4.143	0.236	
LowTLE	Intermediate2	NA	NA	Int1.mRNA	NA	RBS1	128	0.563	0.313101265790725	2.056	-0.123	1.811	NA	
I1TLE	Intermediate1	NA	NA	High.mRNA	NA	RCF2	125.5	2.105	0.392014106395758	6.171	-0.009	5.42	NA	
I1TLE	Intermediate1	LowProtSyn	LowProtSyn.mRNA	Int1.mRNA	NA	RCK2	268	-1.056	0.389608653918041	3.129	-0.064	7.868	0.006	
I1TLE	Low	NA	NA	Int1.mRNA	NA	RCL1	333	-0.391	0.385599454662419	2.207	-0.041	0.402	NA	
LowTLE	NA	NA	NA	NA	NA	RCR2	165.5	0.068	0.315394895558121	NA	NA	NA	NA	
I1TLE	Intermediate1	HighProtSyn	I1ProtSyn.mRNA	Int1.mRNA	Int2.mRNA	RDI1	358	-0.646	0.392440395805111	2.265	0.001	5.61	0.062	
I2TLE	Intermediate1	HighProtSyn	I1ProtSyn.mRNA	High.mRNA	NA	RDL1	827.5	2.084	0.371012794080388	4.368	0.042	5.378	0.096	
I1TLE	Low	IntProtSyn	I1ProtSyn.mRNA	Low.mRNA	Int1.mRNA	REB1	510.5	-0.066	0.400384335454882	0.53	0.095	0.906	0.043	
I2TLE	Low	NA	NA	Int2.mRNA	NA	REE1	100.5	2.587	0.364430603097519	1.474	0.251	1.383	NA	
I2TLE	Intermediate1	NA	NA	Low.mRNA	Low.mRNA	REF2	79	-1.03	0.364041177895404	0.977	-0.101	11.907	NA	
I2TLE	Intermediate1	IntProtSyn	I2ProtSyn.mRNA	Low.mRNA	Int1.mRNA	REG1	161	-0.884	0.354814998022295	0.757	-0.061	7.11	0.019	
I1TLE	Intermediate2	NA	NA	Int1.mRNA	NA	REH1	256	2.229	0.386439893691571	2.678	-0.07	3.292	NA	
I1TLE	Intermediate2	IntProtSyn	I2ProtSyn.mRNA	Int1.mRNA	Low.mRNA	RER1	206	2.438	0.41795505705726	3.719	-0.031	1.987	0.017	
LowTLE	Intermediate2	NA	NA	Low.mRNA	NA	RER2	353.5	-1.722	0.349182818077075	0.878	0.021	4.324	NA	
I1TLE	Intermediate1	NA	NA	Int2.mRNA	Int2.mRNA	RET1	222.5	8.916	0.414605981782611	1.174	-0.007	4.632	NA	
I1TLE	High	NA	NA	High.mRNA	Int2.mRNA	RET2	953.5	-2.851	0.409728869416649	5.249	-0.145	81.625	NA	
LowTLE	Low	NA	NA	Low.mRNA	NA	REV1	6450.5	0.588	0.341458438306875	0.867	-0.075	0.643	NA	
I2TLE	High	LowProtSyn	LowProtSyn.mRNA	Int1.mRNA	NA	REX2	295	2.16	0.366178553495067	2.761	-0.103	34.003	0.004	
I2TLE	High	NA	NA	Low.mRNA	Int1.mRNA	RFC1	100	-2.721	0.375493082249644	0.617	-0.179	39.3	NA	
I1TLE	Intermediate1	IntProtSyn	I2ProtSyn.mRNA	Int2.mRNA	Int1.mRNA	RFC2	104.5	-0.079	0.395271269390037	1.916	0.01	4.867	0.026	
I2TLE	Intermediate1	NA	NA	Int1.mRNA	Low.mRNA	RFC3	171	0.629	0.351965463417955	1.994	-0.022	5.079	NA	
LowTLE	High	NA	NA	Int2.mRNA	Int1.mRNA	RFC5	85.5	2.488	0.344340597027605	1.376	-0.125	172.435	NA	
I1TLE	Intermediate2	NA	NA	Int1.mRNA	NA	RFS1	379.5	2.252	0.387619360889086	3.537	0.079	2.405	NA	
LowTLE	High	NA	NA	Int2.mRNA	NA	RFU1	87	-1.384	0.33246545532665	1.395	-0.117	41.819	NA	
I2TLE	High	NA	NA	Low.mRNA	NA	RGD1	113	-0.891	0.37532564180647	0.941	-0.132	43.749	NA	
I2TLE	Intermediate1	NA	NA	Low.mRNA	NA	RGD2	97	-1.877	0.350979644951108	0.942	-0.091	11.512	NA	
I1TLE	Low	NA	NA	Low.mRNA	NA	RGI1	376.5	29.504	0.399544939822578	0.804	1.44	0.382	NA	
LowTLE	Low	NA	NA	Low.mRNA	NA	RHB1	80	-2.621	0.305927880380962	0.93	-0.035	0.729	NA	
LowTLE	High	NA	NA	Low.mRNA	Int1.mRNA	RHO2	133.5	-0.485	0.345264696650157	0.96	-0.104	475.343	NA	
LowTLE	NA	NA	NA	NA	NA	RHO5	110.5	0.691	0.327100751994478	NA	NA	NA	NA	
I2TLE	High	NA	NA	Low.mRNA	NA	RIA1	216.5	-1.155	0.365093714934315	0.613	-0.164	35.375	NA	
LowTLE	Low	NA	NA	Low.mRNA	Int1.mRNA	RIB1	254	-0.456	0.323680929707349	0.785	-0.023	1.316	NA	
I1TLE	High	HighProtSyn	I2ProtSyn.mRNA	Int1.mRNA	Int2.mRNA	RIB3	449	0.824	0.412471519714038	4.062	-0.083	15.398	0.033	
HighTLE	Intermediate2	HighProtSyn	I2ProtSyn.mRNA	High.mRNA	Int2.mRNA	RIB4	203.5	16.453	0.424381892270157	7.002	0.249	2.261	0.038	
HighTLE	High	NA	NA	High.mRNA	High.mRNA	RIM1	435	3.338	0.502551309056529	5.278	-0.113	41.997	NA	
I2TLE	High	NA	NA	Int2.mRNA	NA	RIO2	323.5	-2.273	0.37511674774148	1.87	-0.152	101.774	NA	
HighTLE	Low	NA	NA	Int2.mRNA	Int1.mRNA	RIP1	119.5	5.277	0.44037884328335	1.348	0.029	0.959	NA	
I1TLE	Intermediate2	LowProtSyn	LowProtSyn.mRNA	Int2.mRNA	NA	RIX1	181	0.008	0.387137802994028	1.983	0.028	2.957	0.006	
I1TLE	Intermediate1	NA	NA	Int2.mRNA	NA	RIX7	102	-1.107	0.39790523097309	1.522	-0.076	10.672	NA	
HighTLE	Intermediate2	IntProtSyn	LowProtSyn.mRNA	Int1.mRNA	Int2.mRNA	RKI1	239.5	1.714	0.436436418552233	4.174	-0.082	1.834	0.005	
HighTLE	High	IntProtSyn	I1ProtSyn.mRNA	High.mRNA	NA	RLI1	1224	-0.732	0.460787306321847	4.514	-0.126	54.564	0.048	
LowTLE	Intermediate1	NA	NA	Low.mRNA	NA	RMD8	142.5	0.377	0.348854964999604	0.682	-0.061	5.655	NA	
I2TLE	High	NA	NA	Low.mRNA	NA	RMD9	207.5	1.216	0.355064812705829	0.846	-0.311	604.744	NA	
I1TLE	Intermediate1	NA	NA	Int1.mRNA	NA	RMT2	184.5	1.832	0.385205457363878	3.463	-0.06	11.028	NA	
I1TLE	High	HighProtSyn	I1ProtSyn.mRNA	High.mRNA	Int2.mRNA	RNA1	1270	-0.816	0.411459372553343	7.113	-0.123	52.029	0.064	
I2TLE	Low	NA	NA	Low.mRNA	NA	RNA14	72	-1.893	0.363059629612723	1.02	-0.114	1.539	NA	
I1TLE	High	IntProtSyn	I1ProtSyn.mRNA	Int1.mRNA	NA	RNQ1	259.5	0.946	0.399790721945055	2.957	-0.145	65.044	0.054	
HighTLE	Low	HighProtSyn	HighProtSyn.mRNA	Int2.mRNA	Int1.mRNA	RNR1	27855.5	23.443	0.453816673337641	1.642	0.946	0.48	0.219	
HighTLE	Intermediate1	HighProtSyn	HighProtSyn.mRNA	High.mRNA	NA	RNR2	11335.5	-1.041	0.534739925513872	7.851	0.02	8.238	0.109	
HighTLE	High	NA	NA	High.mRNA	NA	RNR4	7068	-0.413	0.52684482922624	16.038	-0.04	14.252	NA	
I2TLE	Intermediate1	NA	NA	Int2.mRNA	Int1.mRNA	RNT1	72	-0.421	0.375438182945632	1.443	-0.04	6.784	NA	
LowTLE	Intermediate2	NA	NA	Low.mRNA	NA	ROD1	83.5	-0.608	0.318504837714884	0.615	0.022	3.295	NA	
I2TLE	Low	NA	NA	Int1.mRNA	NA	ROT1	635.5	-2.077	0.363430081348668	2.741	-0.081	1.498	NA	
I2TLE	Low	NA	NA	Int2.mRNA	Low.mRNA	ROX1	79.5	-1.312	0.353148092809119	1.48	0.192	0.93	NA	
I1TLE	Intermediate1	IntProtSyn	I2ProtSyn.mRNA	Int1.mRNA	Int1.mRNA	RPA12	867	-1.483	0.390598443644749	3.419	-0.05	11.66	0.037	
I1TLE	High	IntProtSyn	I1ProtSyn.mRNA	Int1.mRNA	High.mRNA	RPA135	810	0.486	0.407067835850066	2.113	-0.08	15.265	0.048	
I2TLE	NA	NA	NA	NA	Int2.mRNA	RPA14	139	1.649	0.371488113987328	NA	NA	NA	NA	
HighTLE	Intermediate1	NA	NA	Int1.mRNA	Int1.mRNA	RPA190	1134.5	-1.28	0.442545236321242	4.036	-0.018	10.565	NA	
I1TLE	Intermediate2	IntProtSyn	LowProtSyn.mRNA	High.mRNA	High.mRNA	RPA34	487.5	-0.529	0.408622945663764	7.474	-0.088	1.994	0.012	
I1TLE	Low	HighProtSyn	I2ProtSyn.mRNA	Int1.mRNA	Int2.mRNA	RPA43	358	1.437	0.381855684068709	4.279	-0.072	1.412	0.034	
HighTLE	Intermediate1	IntProtSyn	I2ProtSyn.mRNA	High.mRNA	Int2.mRNA	RPA49	451.5	-0.305	0.425811013382916	5.633	-0.094	7.647	0.021	
I2TLE	High	HighProtSyn	I1ProtSyn.mRNA	Int1.mRNA	Int1.mRNA	RPB11	664.5	0.827	0.374303794489512	4.151	-0.109	39.314	0.057	
I1TLE	Intermediate1	IntProtSyn	I2ProtSyn.mRNA	Int1.mRNA	NA	RPB2	1275.5	1.377	0.410451721228456	3.194	0.011	6.253	0.032	
I2TLE	Intermediate1	NA	NA	Int1.mRNA	Int2.mRNA	RPB3	581.5	-1.454	0.373083887554278	3.037	-0.045	9.127	NA	
HighTLE	High	IntProtSyn	LowProtSyn.mRNA	High.mRNA	High.mRNA	RPB8	303	-1.189	0.420901850114091	6.992	-0.107	37.507	0.01	
I2TLE	High	NA	NA	Int1.mRNA	Int2.mRNA	RPB9	480	-2.266	0.354665127432924	2.136	-0.107	83.159	NA	
LowTLE	Intermediate1	LowProtSyn	LowProtSyn.mRNA	Int2.mRNA	NA	RPC17	107.5	-1.569	0.32899778254505	1.244	-0.06	5.757	0.005	
I1TLE	Intermediate1	HighProtSyn	HighProtSyn.mRNA	High.mRNA	High.mRNA	RPC19	499.5	0.379	0.404618968181185	5.69	-0.054	12.711	0.166	
I1TLE	Intermediate2	NA	NA	Int1.mRNA	NA	RPC37	202	1.626	0.40746184834168	2.566	-0.103	4.199	NA	
HighTLE	Intermediate2	HighProtSyn	I1ProtSyn.mRNA	High.mRNA	High.mRNA	RPC40	690	1.146	0.43120935461872	11.221	-0.112	2.492	0.098	
I1TLE	Low	IntProtSyn	LowProtSyn.mRNA	Int1.mRNA	Low.mRNA	RPC53	196	1.194	0.380638245339402	2.805	-0.048	1.137	0.014	
I2TLE	Intermediate1	LowProtSyn	LowProtSyn.mRNA	Int2.mRNA	Int1.mRNA	RPD3	122.5	5.549	0.355892595834993	1.29	-0.085	12.988	0.014	
HighTLE	Intermediate1	HighProtSyn	HighProtSyn.mRNA	Int1.mRNA	Int2.mRNA	RPE1	88	2.136	0.459130394885114	2.552	-0.077	9.372	0.125	
HighTLE	High	HighProtSyn	HighProtSyn.mRNA	High.mRNA	NA	RPG1	2727	-0.841	0.507371045031397	5.291	-0.098	22.855	0.109	
HighTLE	High	NA	NA	High.mRNA	High.mRNA	RPL10	5841	-0.417	0.599662158881889	98.968	0.002	44.093	NA	
HighTLE	High	NA	NA	High.mRNA	High.mRNA	RPL11A	1508.5	2.477	0.614587494346877	48.554	-0.084	15.6	NA	
HighTLE	High	HighProtSyn	I1ProtSyn.mRNA	High.mRNA	High.mRNA	RPL11B	4547	-1.391	0.596002009660351	23.959	-0.073	28.363	0.1	
HighTLE	High	HighProtSyn	HighProtSyn.mRNA	High.mRNA	High.mRNA	RPL12A	1248	-1.651	0.576490520112417	54.376	-0.067	26.389	0.118	
HighTLE	Intermediate1	HighProtSyn	I1ProtSyn.mRNA	High.mRNA	High.mRNA	RPL12B	5767	-2.996	0.609555259473117	54.899	-0.063	8.397	0.108	
HighTLE	High	NA	NA	High.mRNA	High.mRNA	RPL13A	4069.5	-2.073	0.601979962156344	26.148	-0.099	82.172	NA	
HighTLE	High	NA	NA	High.mRNA	High.mRNA	RPL13B	3994	-0.597	0.634306951083893	14.536	-0.087	28.924	NA	
HighTLE	Intermediate1	HighProtSyn	I2ProtSyn.mRNA	High.mRNA	High.mRNA	RPL14A	4400	-3.64	0.622102494640423	60.084	-0.05	10	0.019	
HighTLE	High	HighProtSyn	I2ProtSyn.mRNA	High.mRNA	High.mRNA	RPL14B	2987.5	-1.73	0.614863703285834	14.546	-0.132	19.375	0.031	
